Sigla,Setor_Descricao,Setor_Codigo
IRR,SERV DE PLANEJAMENTO E ORCAMENTO,031000030
IRR,COLECAO DE MOSQUITOS NEOTROPICAIS,031030000
FAR-MANGUINHOS,VICE DIRETORIA DE GESTAO DO TRABALHO,011010201
FAR-MANGUINHOS,ASSESSORIA GARANTIDA DA QUALIDADE,011010201
FAR-MANGUINHOS,VICE DIRETORIA DE SERVICO TECNOLOGICO,011010201
FAR-MANGUINHOS,GERENCIA FINANCEIRA,011010201
FAR-MANGUINHOS,VICE DIRETORIA ADM E INFRA-ESTRUTURA,011010201
FAR-MANGUINHOS,GERENCIA DE CONTRATO,011010201
COGEAD,EFA 2030/PR,001000018
FAR-MANGUINHOS,CENTRO DE EMP. E ASSIST. FARMACEUTICA,011010201
FAR-MANGUINHOS,SERVICO FINANCEIRO,011010201
FAR-MANGUINHOS,COORDENACAO DESENVOLVIMENTO TECNOLOGICO,011010201
FAR-MANGUINHOS,DEP.NUCLEO PLANEJ.GESTAO DE PROJETOS,011010201
FAR-MANGUINHOS,DIVISAO DE ASSISTENCIA FARMACEUTICA,011010201
IRR,SETOR DE LICITACAO,031002430
COGEAD,COORD. PROCESSOS ADMINIST. DISCIPLINARES,016005000
COGEAD,SECAO DE BENEFICIOS,016004220
COGEAD,BIBLIOTECA VIRTUAL EM SAUDE,012006001
INCQS,SERVICO DE ANALISE TECNICA,065003000
FAR-MANGUINHOS,SETOR DE SINTESES QUIMICAS,011010201
FAR-MANGUINHOS,GERENCIA ADMINISTRATIVA,011010201
FAR-MANGUINHOS,SERVICO DE PATRIMONIO,011010201
COGEAD,SERVICO DE GESTAO DE PESSOAS,030011100
ENSP,SERVIÇO DE ORÇAMENTO E FINANÇAS,007006110
FAR-MANGUINHOS,SERVICO DE VENDAS,011010201
INCQS,COMISSÃO INTERNA DE BIOSSEGURANÇA,065000004
FAR-MANGUINHOS,SERVICO APOIO ADMINISTRATIVO,011010201
FAR-MANGUINHOS,COORDENACAO DE ASSISTENCIA FARMACEUTICA,011010201
COGEAD,ASSESSORIA DE PLANEJAMENTO,018004000
COGEAD,SETOR DE RECURSOS HUMANOS,012001006
COC,ESPACO CENTRO DE RECEPCAO,014135130
IAM,LABORATORIO DE ANIMAIS SILVESTRES,032001501
COC,ESPACO EPIDAURINHO,014135140
COC,SECAO DE OPERACAOES TECNICAS,014135440
IRR,PLAT. DE MICROSCOPIA E MICROANALISE DE I,031040241
FAR-MANGUINHOS,BENS AGUARDANDO DISTRIBUICAO,011010201
INI,SERVICO DE GESTAO DE CONTRATOS,017206500
INI,PLATAFORMA DE PESQUISA CLINICA,017204300
INI,SERVICO DE ALMOXARIFADO,017206200
INI,LAB PESQ CLINICA DOENÇAS FEBRIS AGUDAS,017204603
INI,SERVICO DE COMPRAS,017206400
INI,SECAO DE SERVICO SOCIAL,017205200
INI,CENTRO DE ESTUDOS EURICO VILELA,017201200
INI,,00CÓDIGO
INI,SERVICO DE GESTAO DE TRABALHO,017207200
INI,COMITE DE ETICA EM PESQUISA,017201300
INI,SERVICO DE ORCAMENTO E FINANCAS,017206100
ENSP,NÚCLEO DE ASSISTÊNCIA FARMACÊUTICA,007002101
COGEAD,SECAO PRESTACAO CONTAS DE CONVENIOS,020003230
COGEAD,SERVICO DE INF. E COMUN. ADMINISTRATIVA,020001200
FAR-MANGUINHOS,CENTRO DE INOV. EM BIODIVERS. E SAUDE,011010201
COGEAD,SERVICO DE FORMALIZACAO DE CONTRATOS,020005500
COGEAD,SECAO DE PROTOCOLO,020001210
COGEAD,COORDENAÇÃO ADMINISTRATIVA - LOGISTICA,066002200
COGEAD,SERVICO DE ADMINISTRACAO DE MATERIAIS,020005300
COGEAD,COORD. DAS ACOES DE PROSP. DA PR E DO GP,001000005
COC,NUCLEO DE EDUCACAO PATRIMONIAL,014134110
ILMD,SERVICO DE GESTAO DA PESQUISA,042101300
ILMD,SECRETARIA DE ESTADO - SEJUSC/AM,042102200
ILMD,SECAO DE CONTRATOS E CONVENIOS,042103130
ILMD,INSTITUTO LEONIDAS & MARIA DEANE,042000000
ILMD,NUCLEO DE APOIO A PESQUISA,042101300
ILMD,SECAO DE BIBLIOTECA,042102300
ILMD,SECAO DE GESTAO DE CONTRATOS,042103130
IOC,SERVICO DE PLANEJAMENTO E ORCAMENTO,005131000
IAM,SECRETARIA DE GABINETE,032001011
IAM,SECAO DE ENGENHARIA E ARQUITETURA,032001403
ILMD,DIRETORIA DO ILMD,042100001
COGEAD,VICE-PRESID. DE PESQUISA E COLECOES,001010000
COC,EDITORIA DA REVISTA HCSM,014100006
COGEAD,COORDENACAO DE PROJETOS SOCIAIS,001001420
IRR,SERVIÇO DE GESTAO DE TRABALHO,031002100
COGEAD,VICE PRES.DESENVOLV.INST.DE INF.E COMUN.,001008000
ENSP,SECRETARIA ACADEMICA,007005100
IGM,COMISSAO DE GESTAO AMBIENTAL,033003017
INCQS,COORD. PROGRAMA DA QUALIDADE-METROLOGIA,065009200
COC,SECRETARIA EXECUTIVA,014100002
IOC,LAB. DE AIDS E IMUNOLOGIA MOLECULAR,005002520
COGEAD,VICE-PRESID.DESEN INST E GESTAO TRABALHO,001011000
FAR-MANGUINHOS,SERVIÇO DE VALIDACAO,011010201
ILMD,COORD DE ENSINO INTEGRADO,042002000
COGEAD,COORDENACAO DE SAUDE DO TRABALHADOR,067000000
COGEAD,SECRETARIA EDITORIAL,012000005
ILMD,SERVICO DE RECURSOS HUMANOS,042103300
ILMD,SERVICO DE INFORMATICA,042003150
COGEAD,SECRETARIA GERAL,016001000
COGEAD,SECAO DE INFORMACAO EM RECURSOS HUMANOS,016000003
COC,SERVICO DE ORCAMENTO E FINANCAS,014131100
COGEAD,FARMACIA POPULAR BA-NORDESTE AMARALINA,066004001
COGEAD,DEPART.ADMINISTRACAO DE RECURSOS HUMANOS,016004000
COGEAD,FARMACIA POPULAR BA-LIBERDADE,066004003
COGEAD,FARMACIA POPULAR PR-CURITIBA,066008000
COGEAD,FARMACIA POPULAR BA-BROTAS,066004002
COGEAD,FARMACIA POPULAR SP-V.MARIA/GUILHERME,066001010
COGEAD,FARMACIA POPULAR SP-VILA PRUDENTE,066001020
FAR-MANGUINHOS,SECAO DE BIBLIOTECA,011010201
FAR-MANGUINHOS,NUCLEO DE INOVACAO TECNOLOGICA,011010201
IFF,DEP.DE ASSISTENCIA,006009900
IFF,AMBULATORIO ALERGIA,006004240
IFF,AMBULATORIO PEDIATRIA,006004210
IFF,SERVICO DE RECURSOS HUMANOS,006001100
IFF,ASSESSORIA PROCESSUAL,006001012
COGEAD,FARMACIA POPULAR RJ- ILHA DO GOVERNADOR,066002001
COGEAD,FARMACIA POPULAR RJ - PENHA,066002004
IAM,ESCRITÓRIO DE PROJETOS,032001006
FAR-MANGUINHOS,DEPARTAMENTO DE EDUCACAO,011010201
FAR-MANGUINHOS,DEPARTAMENTO DE PROJETOS E OBRAS,011010201
FAR-MANGUINHOS,VICE DIRETORIA DE GESTAO INSTITUCIONAL,011010201
ENSP,SERVICO DE ENSINO,007010030
IOC,PLATAFORMA DE APOIO  PESQUISA E INOVACAO,005134030
INI,COORDENACAO DE INTERNACAO,017001108
COGEAD,DEPARTAMENTO MULTIMEIOS,009003000
COC,SEÇÃO DE FORMAÇÃO,014135300
COC,SECAO DE INFRAESTRUTURA,014131310
COC,SERVICO DE GESTAO DE DOCUMENTOS,014133100
COGEAD,SECRETARIA DA PRESIDENCIA,001000002
COGEAD,COORDENACAO DE REVISTA,012001010
COGEAD,SEC.ARQUIV.MICROFILMAGEM - EXP.DO CAMPUS,020002221
FAR-MANGUINHOS,SERVICO DE UTILIDADE,011010201
INI,LAB DE VIGILANCIA EM LEISHMANIOSES,017204619
IOC,LAB.NAC.E INT.DE REF.TAXON. TRIATOMINEOS,005002830
COGEAD,DIRETORIA DE ADMINISTRACAO DO CAMPUS,008000000
ILMD,BIBLIOTECA,042102300
IOC,EDITORIA CIENTIFICA MEMORIAS,005152000
COGEAD,LABORATORIO DE TECNOLOGIA EDUCACIONAL,012000009
COGEAD,LAB.EDUCACIONAL DE VIGILANCIA SANITARIA,012008004
COGEAD,LABORAT TRABALHO E EDUCACAO PROF SAUDE,012000008
COGEAD,VICE DIRECAO DESENVOLVIM. INSTITUCIONAL,012000011
COGEAD,NUCLEO ENSINO E PESQUISA GESTAO EM SAUDE,012008001
ENSP,DEP. DE P. M. E ASSISTÊNCIA FARMACÊUTICA,007002101
ENSP,SERVIÇO DE GESTÃO DA SUSTENTABILIDADE,007000012
COGEAD,GESTAO DE DOCUMENTACAO E ARQUIVO,009103400
COGEAD,SERVICO DE CADASTRO E CONCESSOES,016004700
COGEAD,COORD.GERAL ENSINO TECN. NV MEDIO SAUDE,102000021
COGEAD,ORCAMENTO - DEAG - EPSJV,012001013
IAM,COMISSÃO DE BIOSSEGURANÇA,032000004
ENSP,SECAO DE INFORMATICA - HELIO FRAGA,007010050
ENSP,SERVICO DE PESQUISA,007010001
ENSP,COMITE DE ETICA E PESQUISA,007000008
ENSP,PROJETO VISA-SES VIGILANCIA SANITARIA,007001010
IOC,DEPTO DE HELMINTOLOGIA,005002100
INI,PLATAFORMA DE LABORATORIO MULTIUSUARIO,017204200
ENSP,ENSINO,007010030
COGEAD,ASSESSORIA DE GESTAO DA QUALIDADE,020001420
IOC,DEPTO DE MICOBACTERIOSES,005003700
INI,SECAO ADMINISTRACAO DE RECURSOS HUMANOS,017207210
COGEAD,INFRAESTRUTURA DE ADMINISTRACAO,012001015
IAM,LAB.DE METODOS QUANTITATIVOS EM SAUDE,032008001
COGEAD,NUCLEO DE SAUDE DO TRABALHADOR DO IFF,067000020
IOC,SECAO DE ARQUIVO,005134041
ENSP,SETOR RECURSOS HUMANOS,007006130
ICTB,SERVICO DE SUST. E SEGURANCA DO TRABALHO,018004200
COGEAD,SECRETARIA DE ADMINISTRACAO DA PREFEITUR,008001100
IAM,DEP.PATOLOGIA BIOLOGIA CELULAR,032003000
COGEAD,FARMACIA POPULAR BA-ITABUNA,066004009
COGEAD,ASSISTENTE DO PORTAL FIOCRUZ,009101002
FAR-MANGUINHOS,SERVICO DE UTILIDADES,011107620
COGEAD,SECAO DE ALMOX. SUPRIMENTO E PATRIMONIO,018004500
FAR-MANGUINHOS,LABORATORIO DE PRODUTOS NATURAIS PN 4,011010201
IAM,SECAO DESENV.RECURSOS HUMANOS,032002220
IFF,BERCARIO DE ALTO RISCO,006006010
IFF,DEPARTAMENTO DE PATOLOGIA CLINICA,006004500
IOC,LAB DE FARMACOLOGIA NEURO CARDIOVASCULAR,005120030
ENSP,VICE DIR DESENV INSTITUCIONAL E GESTAO,007008200
FAR-MANGUINHOS,LABORATORIO DE PILOTO DE SINTESE,011010201
COGEAD,BIB DA SAUDE DA MULHER E CRIANCA,009101600
IFF,CENTRAL DE ESTERELIZACAO MATERIAL,006004700
ICTB,SERVICO DE GESTAO DO TRABALHO,018004300
ENSP,REDE INVESTIGACAO SISTEMAS SERVIC.SAUDE,007000003
COGEAD,SETOR DE ANALISE DE MERCADO,020005160
IFF,AMBULATORIO GERAL - PEDIATRIA,006000000
IFF,SERVICO DE MANUTENCAO,006000002
ENSP,LABORATORIO DE INFORMATICA,007006152
INI,SERV. DE IMUNOLOGIA,017008200
COGEAD,COMISSAO DE ETICA NO USO DE ANIMAIS,001010003
IAM,SECAO DE LIMPESA E CONSERVACAO,032010012
INCQS,SERVIÇO DE GERENCIAMENTO DE AMOSTRAS,065003010
COGEAD,VICE DIRETORIA DE INFOR E COMUNICACAO,009101000
ENSP,VICE DIR ESCOLA DE GOVERNO EM SAUDE,007007300
FAR-MANGUINHOS,SECAO DE ALMOXARIFADO DE MANUT. PREDIAL,011010201
IFF,CENTRO DE ESTUDOS,006009700
IFF,SERVICO GERAIS,006001800
IFF,SALA DE COLETA - PATOLOGIA CLINICA,006004560
INI,SECAO DE BIOQUIMICA,017205280
IFF,SERVICO DE COMPRAS,006001300
IFF,NUCLEO DE COMUNICACAO SOCIAL E VISUAL,006009200
IFF,DIP - DEPARTAMENTO DE PEDIATRIA,006004218
IFF,AMBULATORIO ADOLESCENTE,006004230
IFF,SERVICO SOCIAL,006005080
IFF,AMBULATORIO FISIOTERAPIA RESPIRATORIA,006004280
IFF,CHEFIA DE ENFERMAGEM,006005060
IFF,AMBULATORIO FONOAUDIOLOGIA,006004420
IFF,SERVICO DE ADMINISTRACAO DE MATERIAIS,006001200
IFF,DEPARTAMENTO DE ADMINISTRACAO,006001000
IFF,SECRETARIA DA DIRECAO,006000002
IFF,COMITE DE ETICA E PESQUISA,006002000
IFF,SERVICO DE CONTABILIDADE,006001500
IFF,DEP.DE PESQUISA,006008200
IFF,CONTRATOS,006008320
IFF,PESQUISA DE FUNCAO PULMONAR,006006040
ENSP,SERVIÇO DE PLANEJAMENTO,007006100
ENSP,SETOR DE EXPEDIÇÃO E PROTOCOLO,007006153
INCQS,DIRETORIA DO INCQS,065000001
IAM,SERVICO DE INFRAESTRUTURA E MANUTENCAO,032001401
ENSP,SECRETARIA CADERNOS SAUDE PUBLICA,007007310
COGEAD,DEPTO FORMACAO PROFISSIONAL EM C&T-SAUDE,012007000
IOC,SECAO DE PROTOCOLO,005132001
IRR,ESQUISTOSSOMOSE,031040100
COGEAD,NUCLEO DE BIOSSEGURANCA,012007009
COC,DIRETORIA DA CASA DE OSWALDO CRUZ,014100001
IFF,DEP.TECNOLOGIA E DESENVOLVIMENTO,006008300
ENSP,VICE DIR. DESENVOL. INSTITUCIO. E GESTÃO,007008200
INI,COORDENACAO DE PESQUISA,017204100
COGEAD,OBRAS RARAS B.MANG.PAV.MOUR.3ºAND S/302,009001101
COGEAD,COORDENACAO DE RECURSOS HUMANOS,001010012
IAM,SECRETARIA ACADEMICA,032001200
COGEAD,SETORIAL CONTABIL,020003400
ENSP,CENTRO ESTUDOS PESQ EMERG DESASTRE SAUDE,007000010
ENSP,CENTRO DE ESTUDOS SOBRE TABACO E SAUDE,007000011
FAR-MANGUINHOS,SERVICO ALMOXARIFADO,011010201
FAR-MANGUINHOS,SECAO DE TRANSPORTE,011010201
COGEAD,COORDENACAO GRAL DE ADMINISTRACAO,020000000
IGM,HOSPITAL UNIVERS. PROF. EDGARD SANS,033999942
IFF,URODINAMICA - DPTO. PEDIATRIA,006004208
IAM,SECAO DE PROTOCOLO,032000100
IGM,SALA DE FREEZERS 1 PAV. ZILTON ANDRADE,033027080
FAR-MANGUINHOS,SERVICO DE METODOS ANALITICOS,011010201
ILMD,SECAO DE ARQUIVO,042103710
ILMD,SECAO DE PROTOCOLO,042103720
COGEAD,SERVICO DE GESTAO DO TRABALHO,018004300
COGEAD,LAB. DE CRISTALIZACAO DE PROTEINAS,069001419
IFF,DEPARTAMENTO DE GINECOLOGIA,006005000
INCQS,LABORATORIO DE TOXICOLOGIA,065004310
IFF,SERVICO DE ROUPARIA,006001700
FAR-MANGUINHOS,SECAO DE SEG. DO TRABALHO CAMPUS MANGUIN,011010201
IOC,LAV.ESTEREL.DEP.VIR.,005002490
IAM,PATOLOGIA,032003101
ENSP,SERVIÇO DE GESTÃO DA QUALIDADE,007002231
IFF,AMBULATORIO PROVA DE FUNCAO RESPIRATORIA,006004432
COGEAD,SECAO PRESTACAO CONTAS E CONVENIO,020003230
FAR-MANGUINHOS,SECAO DE TRATAMENTO DE EFLUENTES,011010201
FAR-MANGUINHOS,NUCLEO DE GESTAO EM BIODIVERSIDADE E SAU,011010201
IFF,ASSESSORIA DA DIRECAO,006000003
IFF,AMBULATORIO NEUROLOGIA,006004440
IFF,NUCLEO DE EPDEMIOLOGIA,006000005
IOC,VICE DIR DE SERVICO DE REF E COLECOES,005160000
IFF,SERVICO DE ALMOXARIFADO,006001201
IFF,DEPARTAMENTO DE PEDIATRIA,006004200
IFF,HEMATOLOGIA - PATOLOGIA CLINICA,006004540
IFF,AMBULATORIO CIRURGIA PEDIATRICA,006004251
IFF,SERVICO DE PLANEJAMENTO,006001040
COGEAD,FARMACIA POPULAR RJ - PAVUNA,066002005
IFF,AMBULATORIO CARDIOLOGIA,006004250
FAR-MANGUINHOS,SERVICO DE AUTOMACAO,011010201
COGEAD,NUCLEO CONTROLE PASSAGEM AEREA/TRANSPORT,020005002
IFF,SECRETARIA ACADEMICA - DPTO ENSINO,006008020
IFF,NUST - IFF,006009300
ENSP,SERVIÇO DE GESTÃO DO TRABALHO,007006130
IGM,COMITE DE ETICA EM PESQUISA,033003201
IGM,SALA DE PESADAS,033027170
INI,SERVICO MEDICO,017205150
ENSP,SERVIÇO DE GESTÃO DE CONTRATOS,007006121
COGEAD,SERVIÇO DE INFRAESTRUTURA,043203400
COGEAD,SERVICO DE AMBULATORIO,017104200
COGEAD,LAB DE PESQUISA CLINICA EM DST E AIDS,017100020
IAM,ASSIST. TÉCNICA IMPRENSA COMUNIC. SOCIAL,032001012
IGM,SALA PESQUISADOR,033002000
IGM,CANTINA E REFEITORIO,033003430
COGEAD,FARMACIA POPULAR BA-COMERCIO,066004005
COGEAD,FARMACIA POPULAR NUCLEO BAHIA,001011004
IGM,SALA DO SONICADOR,033140003
COGEAD,SECAO DE COMPRAS ESPECIALIZADAS,020005120
COC,PROG. DE POS GRAD. EM HIST. DAS C. E S.,014110100
IGM,SALA REUNIAO 1 PAV. ZILTON ANDRADE,033031021
IGM,PLATAFORMA DE CITOMETRIA,033032000
IGM,SALA REUNIAO 2 PAV. ZILTON ANDRADE,033031022
IGM,SALA DE FACS LIP/LIMI-PAV.ZILTON ANDRADE,033027110
IGM,PESQUISADOR LPBM,033070000
IAM,SETOR DE LAVAGEM ESTERELIZACAO,032005100
INCQS,SETOR DE BACTÉRIAS E ARQUEIAS,065007030
ILMD,SERV DE ADM ORCAMENTARIA E FINANCEIRA,042103800
INI,SECAO DE SECRECOES E EXCRECOES,017205290
COGIC,SUBSECAO ESTACAO TRATAMENTO ESGOTO,008004209
COGIC,SUBSEÇÃO COMPOSTO ORGÂNICO,008004205
COGIC,SERVIÇO MANUTENÇÃO CIVIL,008004050
COGIC,SECAO ADMINISTRACAO,008007130
COGIC,SECAO RESIDUO QUIMICO PERIGOSOS,008004208
COGEAD,PLAT DE CRIACAO E EXPERIMENTACAO ANIMAL,069001411
ICTB,ALMOXARIFADO CECAL,018004500
IFF,DEP.DE OBSTETRICIA,006004000
COGEAD,FARMACIA POPULAR BA - BARRA,066004065
COGEAD,FARMACIA POPULAR BA - CONCEICAO DO COITE,066004066
COGEAD,FARMACIA POPULAR BA-RIO VERMELHO,066004035
COGEAD,FARMACIA POPULAR SE - TOBIAS BARRETO,066200009
COGEAD,FARMACIA POPULAR SP-GUARUJA,066001104
COGEAD,FARMACIA POPULAR GO-UNIV.FEDERAL GOIAS,066003016
COGEAD,FARMACIA POPULAR SP-SE,066001018
FAR-MANGUINHOS,SERVICO DE CONTROLE MICROBIOLOGICO,011010201
FAR-MANGUINHOS,DIVISAO DE ASSUNTOS REGULAT0RIOS,011010201
ILMD,POLICLINA CARDO FONTES,042102200
FAR-MANGUINHOS,SETOR DE PROTOCOLO,011010201
ILMD,POLICLINICA CARDOSO FONTES,042102200
FAR-MANGUINHOS,SERVICO DE ENGENHARIA INDUSTRIAL,011010201
FAR-MANGUINHOS,DEPARTAMENTO DE GARANTIA DA QUALIDADE,011010201
FAR-MANGUINHOS,VICE-DIRETORIA DE OPERACOES E PRODUCAO,011010201
FAR-MANGUINHOS,SERVICO DE AGUAS INDUSTRIAIS,011010201
FAR-MANGUINHOS,ASSISTENCIA TECNICA DE PROJETOS EXTERNOS,011010201
FAR-MANGUINHOS,DEPARTAMENTO DE PLAN. E CONTROLE DA PROD,011010201
FAR-MANGUINHOS,CENTRO DE COMUNICACAO,011010201
FAR-MANGUINHOS,SERVICO DE COMPRAS NACIONAIS AQUISICAO,011010201
FAR-MANGUINHOS,VICE-DIRETORIA DE GESTAO INSTITUCIONAL,011010201
ILMD,SECRETARIA EXECUTIVA,042100003
COGEAD,SEÇÃO DE EXPEDICAO,020002211
ILMD,SECRETARIA DE ESTADO - SEJUSC/AM,042101000
FAR-MANGUINHOS,SERVICO DE UTILIDADES,011010201
COGEAD,BENS A ALIENAR,020999996
FAR-MANGUINHOS,ASSESSORIA EXECUTIVA,011010201
FAR-MANGUINHOS,SERVICO DE BOAS PRATICAS DE FABRICACAO,011010201
FAR-MANGUINHOS,DIVISAO DA GARANTIDA DA QUALIDADE,011010201
FAR-MANGUINHOS,SERV. DE PLAN. E CONTR. ORÇ. E GEST. CUS,011010201
FAR-MANGUINHOS,SERVICO DE GESTAO DE MUDANCAS E RISCOS,011010201
FAR-MANGUINHOS,ASSESSORIA DE GESTAO ESTRATEGICA,011010201
FAR-MANGUINHOS,DIVISAO DE BIOTECNOLOGIA,011010201
FAR-MANGUINHOS,ASSESSORIA DE GESTAO SOCIAL,011010201
FAR-MANGUINHOS,ASSISTENCIA TECNICA PROCESSUAL,011010201
FAR-MANGUINHOS,SERVIÇO DE METROLOGIA,011010201
FAR-MANGUINHOS,SECAO DE RESIDUOS,011010201
FAR-MANGUINHOS,DIVISAO DE ASSUNTOS REGULATORIOS,011010201
COGEAD,CENTRO SAUDE ESCOLA GERMANO S.FARIA,007007100
FAR-MANGUINHOS,SETOR DE REPROGRAFIA,011010201
FAR-MANGUINHOS,ASSESSORIA CONTROLE INTERNO,011010201
FAR-MANGUINHOS,SERVICO DE BOAS PRATICAS DE DOCUMENTACAO,011010201
IFF,MATERNIDADE,006004412
COC,SERVICO DE GESTAO DE PESSOAS,014131400
COGEAD,EDITORA CIENTIFICA E ADMINISTRATIVA,009107000
INCQS,LAB. DE PROD. BIOLÓGICOS E ART. DE SAÚDE,065002300
IAM,SECAO DE LIMPEZA E CONSERVACAO,032010012
IGM,RECEPCAO ZILTON ANDRADE,033031020
IGM,AREA DE CIRCULACAO I - PAV. CENTRAL,033005014
COGEAD,PROGRAMA DE EPIDEMIOLOGIA E VIGIL.SAUDE,043202600
COGEAD,SERVICO DE ADMINISTRACAO,043203200
COGEAD,FARMACIA POPULAR SP-HORTOLANDIA UND I,066001054
FAR-MANGUINHOS,SERVICO DE PLAN. E AGRUP. DE SUPRIMENTOS,011010201
FAR-MANGUINHOS,SECAO DE ALMOXARIFADO DE MANUTENCAO,011010201
COGEAD,VICE DIRECAO,043200001
COGEAD,ASSESSORIAS,043201000
COGEAD,ASSESSORIA JURIDICA DO GABINETE,043200006
COGEAD,SERVICO DE GESTAO DO TRABALHO,043203100
COGEAD,NUCLEO DE GESTAO DE PROJETOS,043203201
COGEAD,NUCLEO DE ESTUDOS BIOETICA E DIPLO.SAUDE,043202001
COGEAD,GERENCIA REGIONAL DE BRASILIA,043000000
COGEAD,SECRETARIA ACADEMICA EFG,043200003
COGEAD,SECAO DE CONTRATOS E CONVENIOS,043203240
COGEAD,PROGRAMA DE DIREITO SANITARIO,043202100
COGEAD,COORDENACAO DE PROGRAMAS E PROJETOS,043202000
COGEAD,"PROGRAMA DE EDUCACAO, CULTURA E SAUDE",043202300
COGEAD,ASSESSORIA DE COMUNICACAO,043201100
COGEAD,SETOR DE PROTOCOLO,043203290
COGEAD,ASSESSORIA PARLAMENTAR,043201200
COGEAD,NUCLEO DE FISCALIZACAO DE CONTRATO,043203202
COGEAD,SERVICO DE TECNOLOGIA DA INFORMACAO,043203600
COGEAD,SECAO SUPORTE DE USUARIOS EM INFORMATICA,043203630
INCQS,NT DE COSMÉTICOS,065006500
FAR-MANGUINHOS,SECAO DE GESTAO DE CONTRATOS LOGISTICOS,011010201
COC,ASSIST TEC EM PLAN. E GEST. ESTRATEGICA,014131500
COC,ASSISTENCIA TECNICA DE COOPERACAO,014100004
COC,SECRETARIA ACADEMICA/COC,014110400
COGEAD,DIRETORIA DE ADMINISTRAÇÃO DO CAMPUS,008000000
IOC,COMISSAO INTERNA DE QUALIDADE,005130003
IAM,SECRETARIA DE SERVICOS DE REFERENCIA,032000003
IAM,COMISSAO ETICA EXP ANIMAL CEUA,032001008
ENSP,GRUPO DE DIREITOS HUMANOS E SAUDE,007000009
COGEAD,FARMACIA POPULAR SP-PENHA,066001013
IOC,,005150012
COGEAD,SECRETARIA GERAL,020002000
INI,COMISSAO CONTROLE DE INFECCAO HOSPITALAR,017201100
INI,,017200460
COGEAD,FARMACIA POPULAR SP-PIRITUBA,066001015
COGEAD,FARMACIA POPULAR MG-BELO HORIZONTE,066160004
COGEAD,FARMACIA POPULAR BA-CAJAZEIRAS,066004004
COGEAD,FARMACIA POPULAR SP-VILA MARIANA,066001019
IFF,COMISSAO INFECCAO HOSPITALAR,006000004
INCQS,SERVIÇO DE PLANEJAMENTO,065000006
COGEAD,FARMACIA POPULAR PR-ARAUCARIA,066150000
COGEAD,FARMACIA POPULAR BA-JUAZEIRO,066004011
COGEAD,FARMACIA POPULAR SP-FERRAZ VASCONCELO,066001025
COGEAD,FARMACIA POPULAR SE-N.S. DO SOCORRO,066200002
COGEAD,FARMACIA POPULAR AM-MANAUS 2,066010006
COGEAD,FARMACIA POPULAR PB-BAYEUX,066130001
COGEAD,FARMACIA POPULAR PE-OLINDA,066110000
COGEAD,FARMACIA POPULAR SP-SUMARE,066001022
COGEAD,FARMACIA POPULAR SP-SAO CARLOS,066001027
COGEAD,FARMACIA POPULAR RS-SANTA MARIA,066005005
COGEAD,FARMACIA POPULAR SP - JANDIRA,066001046
COGEAD,FARMACIA POPULAR PA-ANANINDEUA,066007003
COGEAD,FARMACIA POPULAR CE-IGUATU,066006001
COGEAD,FARMACIA POPULAR BA-SENHOR DO BONFIM,066004017
COGEAD,FARMACIA POPULAR SP-CATANDUVA,066001039
COGEAD,FARMACIA POPULAR BA-TEIXEIRA DE FREITAS,066004019
COGEAD,FARMACIA POPULAR MG-SETE LAGOAS,066160001
COGEAD,FARMACIA POPULAR SP-OSASCO,066001031
COGEAD,FARMACIA POPULAR PB-SOUZA,066130000
COGEAD,FARM POPULAR SP-CENTRO ITAQUAQUECETUBA 1,066001036
COGEAD,FARMACIA POPULAR PA-ALTAMIRA,066007002
COGEAD,FARMACIA POPULAR PE-PETROLINA,066110002
COGEAD,FARMACIA POPULAR SP - APARECIDA,066001021
COGEAD,FARMACIA POPULAR SP - SANTO ANDRE,066001045
COGEAD,FARMACIA POPULAR SC-SAO BENTO DO SUL,066220000
COGEAD,FARMACIA POPULAR PR-SARANDI,066150002
COGEAD,FARMACIA POPULAR SC-CRICIUMA,066220002
COGEAD,FARMACIA POPULAR RJ-QUEIMADOS,066002016
COGEAD,FARMACIA POPULAR PE-BEZERROS,066110003
COGEAD,FARMACIA POPULAR RJ-SEROPEDICA,066002010
COGEAD,FARMACIA POPULAR RJ-MAGE,066002012
COGEAD,FARMACIA POPULAR SE-ITABAINA,066200000
COGEAD,FARMACIA POPULAR RJ-ITAGUAI,066002017
COGEAD,FARMACIA POPULAR PR-APUCARANA,066150001
COGEAD,FARMACIA POPULAR MG-VICOSA,066160000
COGEAD,FARMACIA POPULAR SP-MOGI MIRIM,066001028
COGEAD,FARMACIA POPULAR GO-APARECIDA DE GOIANIA,066230001
COGEAD,FARMACIA POPULAR PA-SANTAREM,066007001
COGEAD,FARMACIA POPULAR SP-MARILIA,066001034
COGEAD,FARMACIA POPULAR RJ - BARRA MANSA,066002009
COGEAD,FARMACIA POPULAR  PI - MOCAMBINHO,066120001
COGEAD,FARMACIA POPULAR SP-JARDIM DA ESTACAO,066001035
COGEAD,FARMACIA POPULAR BA-BOM JESUS DA LAPA,066004015
COGEAD,FARMACIA POPULAR SC-RIO DO SUL,066220001
COGEAD,FARMACIA POPULAR AC-RIO BRANCO,066170000
COGEAD,FARMACIA POPULAR RS-SAPIRANGA,066005002
COGEAD,FARMACIA POPULAR MA-PINHEIROS,066190001
